channel_id,year,video_count
UC33VkaWtUAg84eE1BfScpZg,2026,3
UC35EDRwjO07DpevXGxo3Y0g,2022,117
UC35EDRwjO07DpevXGxo3Y0g,2023,104
UC35EDRwjO07DpevXGxo3Y0g,2024,57
UC35EDRwjO07DpevXGxo3Y0g,2025,20
UC35EDRwjO07DpevXGxo3Y0g,2026,22
UC3D2LNEOdYQq5mu9hjoQTZQ,2021,1
UC3D2LNEOdYQq5mu9hjoQTZQ,2022,13
UC3D2LNEOdYQq5mu9hjoQTZQ,2023,64
UC3D2LNEOdYQq5mu9hjoQTZQ,2024,74
UC3D2LNEOdYQq5mu9hjoQTZQ,2025,111
UC3D2LNEOdYQq5mu9hjoQTZQ,2026,199
UC3DORp_0MHcP00w2JxQ88_Q,2022,4
UC3DORp_0MHcP00w2JxQ88_Q,2023,116
UC3DORp_0MHcP00w2JxQ88_Q,2024,124
UC3DORp_0MHcP00w2JxQ88_Q,2025,101
UC3DORp_0MHcP00w2JxQ88_Q,2026,44
UC3H7_4Gz8PhHeMz0hHwuFTw,2024,13
UC3H7_4Gz8PhHeMz0hHwuFTw,2025,24
UC3HM8L5j53x0WsliGNTXhbQ,2017,2
UC3HM8L5j53x0WsliGNTXhbQ,2020,70
UC3HM8L5j53x0WsliGNTXhbQ,2021,173
UC3HM8L5j53x0WsliGNTXhbQ,2022,118
UC3HM8L5j53x0WsliGNTXhbQ,2023,83
UC3HM8L5j53x0WsliGNTXhbQ,2024,42
UC3HM8L5j53x0WsliGNTXhbQ,2025,5
UC3JqFoY66A90sdqe46mvbTA,2023,64
UC3JqFoY66A90sdqe46mvbTA,2024,151
UC3JqFoY66A90sdqe46mvbTA,2025,353
UC3JqFoY66A90sdqe46mvbTA,2026,132
UC3K3Crh966nzLx41obfJhaA,2024,189
UC3K3Crh966nzLx41obfJhaA,2025,407
UC3K3Crh966nzLx41obfJhaA,2026,104
UC3O5wAgEVyNA1Jw3gyi-_jA,2022,8
UC3O5wAgEVyNA1Jw3gyi-_jA,2023,160
UC3O5wAgEVyNA1Jw3gyi-_jA,2024,125
UC3O5wAgEVyNA1Jw3gyi-_jA,2025,72
UC3O5wAgEVyNA1Jw3gyi-_jA,2026,42
UC3OnR-Tqd8dHmY-XNHO4iZw,2022,1
UC3OnR-Tqd8dHmY-XNHO4iZw,2023,6
UC3OnR-Tqd8dHmY-XNHO4iZw,2024,13
UC3OnR-Tqd8dHmY-XNHO4iZw,2025,5
UC3OnR-Tqd8dHmY-XNHO4iZw,2026,5
UC3PeUyEXBffDBFpOiuk0odQ,2020,1
UC3PeUyEXBffDBFpOiuk0odQ,2023,6
UC3PeUyEXBffDBFpOiuk0odQ,2024,97
UC3PeUyEXBffDBFpOiuk0odQ,2025,188
UC3PeUyEXBffDBFpOiuk0odQ,2026,171
UC3QIcnp1II_iCt-_JG8btKQ,2025,106
UC3QIcnp1II_iCt-_JG8btKQ,2026,86
UC3QTic1iBGQN_LzWo7JfDKQ,2025,74
UC3QTic1iBGQN_LzWo7JfDKQ,2026,188
UC3TQ2myWZR8pZiUZ6Cs0-Sw,2024,1
UC3ZglUA0HEUCuGbe5b8zXKw,2020,1
UC3ZglUA0HEUCuGbe5b8zXKw,2021,17
UC3ZglUA0HEUCuGbe5b8zXKw,2022,12
UC3aHMGHRuQAonBUpE2a94bA,2025,177
UC3aHMGHRuQAonBUpE2a94bA,2026,179
UC3cucsq4iSW-mU8-E18ESCQ,2022,1
UC3cucsq4iSW-mU8-E18ESCQ,2023,16
UC3cucsq4iSW-mU8-E18ESCQ,2024,12
UC3cucsq4iSW-mU8-E18ESCQ,2026,2
UC3ea-AGQlCDx_XOMO58C0Jg,2025,44
UC3ea-AGQlCDx_XOMO58C0Jg,2026,44
UC3gREX7tB8vEhPFgAOGr9xg,2024,213
UC3gREX7tB8vEhPFgAOGr9xg,2025,293
UC3gREX7tB8vEhPFgAOGr9xg,2026,194
UC3it6w4G8eUA98J2w60gBDQ,2022,144
UC3it6w4G8eUA98J2w60gBDQ,2023,100
UC3it6w4G8eUA98J2w60gBDQ,2024,13
UC3it6w4G8eUA98J2w60gBDQ,2026,22
UC3lFI2WTG-d0KrTRwAbjAlw,2024,5
UC3lFI2WTG-d0KrTRwAbjAlw,2025,12
UC3lFI2WTG-d0KrTRwAbjAlw,2026,1
