account_key,platform,channel_id,label,url,eligibility_status,reason_code,included
facebook:acct_36d5bf2c81711d714a19,facebook,,aoriix,https://www.facebook.com/aoriix,HOLD_NEEDS_CHANNEL_REVIEW,NO_REVIEWED_PLATFORM_ACCOUNT_ID,False
facebook:acct_3770a4d6102076cd8b06,facebook,,100094278412976,https://www.facebook.com/profile.php?id=100094278412976,HOLD_NEEDS_CHANNEL_REVIEW,NO_REVIEWED_PLATFORM_ACCOUNT_ID,False
facebook:acct_381e5ec8ba2fc9a1fe5e,facebook,,61588311233819,https://www.facebook.com/profile.php?id=61588311233819,HOLD_NEEDS_CHANNEL_REVIEW,NO_REVIEWED_PLATFORM_ACCOUNT_ID,False
facebook:acct_3a2b003920cf9007719e,facebook,,Atsuko.Meron,https://www.facebook.com/Atsuko.Meron,HOLD_NEEDS_CHANNEL_REVIEW,NO_REVIEWED_PLATFORM_ACCOUNT_ID,False
facebook:acct_3b4f15a749038b0ac66f,facebook,,renkon.V1,https://www.facebook.com/renkon.V1,HOLD_NEEDS_CHANNEL_REVIEW,NO_REVIEWED_PLATFORM_ACCOUNT_ID,False
facebook:acct_3c2f0406ae38851ef874,facebook,,100082839023159,https://www.facebook.com/profile.php?id=100082839023159,HOLD_NEEDS_CHANNEL_REVIEW,NO_REVIEWED_PLATFORM_ACCOUNT_ID,False
facebook:acct_3d91d18457a693a80ac8,facebook,,echune,https://www.facebook.com/echune,HOLD_NEEDS_CHANNEL_REVIEW,NO_REVIEWED_PLATFORM_ACCOUNT_ID,False
facebook:acct_3e768a229e92362eff66,facebook,,Eileennoir.0,https://www.facebook.com/Eileennoir.0,HOLD_NEEDS_CHANNEL_REVIEW,NO_REVIEWED_PLATFORM_ACCOUNT_ID,False
facebook:acct_3ee62be50d4696bb5a98,facebook,,ThelittleNelle,https://www.facebook.com/ThelittleNelle,HOLD_NEEDS_CHANNEL_REVIEW,NO_REVIEWED_PLATFORM_ACCOUNT_ID,False
facebook:acct_403f02e4abca7769eee2,facebook,,TantheTantaros,https://www.facebook.com/TantheTantaros,HOLD_NEEDS_CHANNEL_REVIEW,NO_REVIEWED_PLATFORM_ACCOUNT_ID,False
facebook:acct_407d33b725535ad5e468,facebook,,HolieCh,https://www.facebook.com/HolieCh,HOLD_NEEDS_CHANNEL_REVIEW,NO_REVIEWED_PLATFORM_ACCOUNT_ID,False
facebook:acct_4107f4d637ee4b71ed35,facebook,,ARP.Vtuber,https://www.facebook.com/ARP.Vtuber,HOLD_NEEDS_CHANNEL_REVIEW,NO_REVIEWED_PLATFORM_ACCOUNT_ID,False
facebook:acct_4112e265adaa34971061,facebook,,ProjectVtory,https://www.facebook.com/ProjectVtory,HOLD_NEEDS_CHANNEL_REVIEW,NO_REVIEWED_PLATFORM_ACCOUNT_ID,False
facebook:acct_415317f9266fc7761927,facebook,,61563624382941,https://www.facebook.com/profile.php?id=61563624382941,HOLD_NEEDS_CHANNEL_REVIEW,NO_REVIEWED_PLATFORM_ACCOUNT_ID,False
facebook:acct_42c5614f05fb936b0495,facebook,,MaryArtGallery2000,https://www.facebook.com/MaryArtGallery2000,HOLD_NEEDS_CHANNEL_REVIEW,NO_REVIEWED_PLATFORM_ACCOUNT_ID,False
facebook:acct_4559645f8f105a6d7be1,facebook,,YuutaNatsuki1,https://www.facebook.com/YuutaNatsuki1,HOLD_NEEDS_CHANNEL_REVIEW,NO_REVIEWED_PLATFORM_ACCOUNT_ID,False
facebook:acct_46133ac67c9fac5f6d98,facebook,,61578300908753,https://www.facebook.com/profile.php?id=61578300908753,HOLD_NEEDS_CHANNEL_REVIEW,NO_REVIEWED_PLATFORM_ACCOUNT_ID,False
facebook:acct_48ff4f22e4577c2b26f4,facebook,,maruko.maru.790702,https://www.facebook.com/maruko.maru.790702,HOLD_NEEDS_CHANNEL_REVIEW,NO_REVIEWED_PLATFORM_ACCOUNT_ID,False
facebook:acct_4ab73ed14a2188451a5c,facebook,,ZenaidaXETA102,https://www.facebook.com/ZenaidaXETA102,HOLD_NEEDS_CHANNEL_REVIEW,NO_REVIEWED_PLATFORM_ACCOUNT_ID,False
facebook:acct_4b82222777fbd09c551c,facebook,,61561858960771,https://www.facebook.com/profile.php?id=61561858960771,HOLD_NEEDS_CHANNEL_REVIEW,NO_REVIEWED_PLATFORM_ACCOUNT_ID,False
facebook:acct_4bca8a0b2cd4e6601af1,facebook,,100088713876006,https://www.facebook.com/profile.php?id=100088713876006,HOLD_NEEDS_CHANNEL_REVIEW,NO_REVIEWED_PLATFORM_ACCOUNT_ID,False
facebook:acct_50d21be387cb9d84df2e,facebook,,drakostation,https://www.facebook.com/drakostation,HOLD_NEEDS_CHANNEL_REVIEW,NO_REVIEWED_PLATFORM_ACCOUNT_ID,False
facebook:acct_552263181c7c9fa2115e,facebook,,FL.FirstsLove,https://www.facebook.com/FL.FirstsLove,HOLD_NEEDS_CHANNEL_REVIEW,NO_REVIEWED_PLATFORM_ACCOUNT_ID,False
facebook:acct_5579d85707658790784e,facebook,,Artie.EPR,https://www.facebook.com/Artie.EPR,HOLD_NEEDS_CHANNEL_REVIEW,NO_REVIEWED_PLATFORM_ACCOUNT_ID,False
facebook:acct_564582e7d845bba2ee34,facebook,,kritnibyou,https://www.facebook.com/kritnibyou,HOLD_NEEDS_CHANNEL_REVIEW,NO_REVIEWED_PLATFORM_ACCOUNT_ID,False
facebook:acct_5674e9fe3b9057e1f926,facebook,,KritNibyou,https://www.facebook.com/KritNibyou,HOLD_NEEDS_CHANNEL_REVIEW,NO_REVIEWED_PLATFORM_ACCOUNT_ID,False
facebook:acct_5798d3194b0b633f79cf,facebook,,61575073833839,https://www.facebook.com/profile.php?id=61575073833839,HOLD_NEEDS_CHANNEL_REVIEW,NO_REVIEWED_PLATFORM_ACCOUNT_ID,False
facebook:acct_598fa2dbec8ebeae7a2b,facebook,,61573702659881,https://www.facebook.com/profile.php?id=61573702659881,HOLD_NEEDS_CHANNEL_REVIEW,NO_REVIEWED_PLATFORM_ACCOUNT_ID,False
facebook:acct_59c9c70638b025c98c69,facebook,,VIGroupOfficial,https://www.facebook.com/VIGroupOfficial,HOLD_NEEDS_CHANNEL_REVIEW,NO_REVIEWED_PLATFORM_ACCOUNT_ID,False
facebook:acct_5af63bdc58b389434829,facebook,,X.Zilva,https://www.facebook.com/X.Zilva,HOLD_NEEDS_CHANNEL_REVIEW,NO_REVIEWED_PLATFORM_ACCOUNT_ID,False
facebook:acct_5bf5eca08766835bdbac,facebook,,In0sukeFB,https://www.facebook.com/In0sukeFB,HOLD_NEEDS_CHANNEL_REVIEW,NO_REVIEWED_PLATFORM_ACCOUNT_ID,False
facebook:acct_5c0fbb8c0922d8f72231,facebook,,100086874577315,https://www.facebook.com/profile.php?id=100086874577315,HOLD_NEEDS_CHANNEL_REVIEW,NO_REVIEWED_PLATFORM_ACCOUNT_ID,False
facebook:acct_5cc157dba9704f73c568,facebook,,ScentHarmony,https://www.facebook.com/ScentHarmony,HOLD_NEEDS_CHANNEL_REVIEW,NO_REVIEWED_PLATFORM_ACCOUNT_ID,False
facebook:acct_5de7881871a44e1fd506,facebook,,100011121540227,https://www.facebook.com/profile.php?id=100011121540227,HOLD_NEEDS_CHANNEL_REVIEW,NO_REVIEWED_PLATFORM_ACCOUNT_ID,False
facebook:acct_60d76b37928e6bfbf54b,facebook,,61572972016670,https://www.facebook.com/profile.php?id=61572972016670,HOLD_NEEDS_CHANNEL_REVIEW,NO_REVIEWED_PLATFORM_ACCOUNT_ID,False
facebook:acct_61761b856066b3a93dd1,facebook,,r2pbyhito,https://www.facebook.com/r2pbyhito,HOLD_NEEDS_CHANNEL_REVIEW,NO_REVIEWED_PLATFORM_ACCOUNT_ID,False
facebook:acct_643043686a31fca80304,facebook,,BEARISSBEAM,https://www.facebook.com/BEARISSBEAM,HOLD_NEEDS_CHANNEL_REVIEW,NO_REVIEWED_PLATFORM_ACCOUNT_ID,False
facebook:acct_64fa43c20c95e531ca2e,facebook,,61580137779621,https://www.facebook.com/profile.php?id=61580137779621,HOLD_NEEDS_CHANNEL_REVIEW,NO_REVIEWED_PLATFORM_ACCOUNT_ID,False
facebook:acct_65129c09d85aafb6ff2c,facebook,,CandyCatdyy,https://www.facebook.com/CandyCatdyy,HOLD_NEEDS_CHANNEL_REVIEW,NO_REVIEWED_PLATFORM_ACCOUNT_ID,False
facebook:acct_6a79284c701220a781b6,facebook,,LittleGWarin,https://www.facebook.com/LittleGWarin,HOLD_NEEDS_CHANNEL_REVIEW,NO_REVIEWED_PLATFORM_ACCOUNT_ID,False
facebook:acct_6af98e906179aa302b05,facebook,,61591583510081,https://www.facebook.com/profile.php?id=61591583510081,HOLD_NEEDS_CHANNEL_REVIEW,NO_REVIEWED_PLATFORM_ACCOUNT_ID,False
facebook:acct_6b594483a79aba2bfd28,facebook,,Supeacha,https://www.facebook.com/Supeacha,HOLD_NEEDS_CHANNEL_REVIEW,NO_REVIEWED_PLATFORM_ACCOUNT_ID,False
facebook:acct_6de8f96a51f08038ac07,facebook,,LuYaoVtuber,https://www.facebook.com/LuYaoVtuber,HOLD_NEEDS_CHANNEL_REVIEW,NO_REVIEWED_PLATFORM_ACCOUNT_ID,False
facebook:acct_6deea098267a2200465c,facebook,,61593479824865,https://www.facebook.com/profile.php?id=61593479824865,HOLD_NEEDS_CHANNEL_REVIEW,NO_REVIEWED_PLATFORM_ACCOUNT_ID,False
facebook:acct_6ec69e3b5826d78a8c56,facebook,,Usami Bunny,https://www.facebook.com/UsamiBunny,HOLD_NEEDS_CHANNEL_REVIEW,NO_REVIEWED_PLATFORM_ACCOUNT_ID,False
facebook:acct_6ee890d1461aaf4f4ef4,facebook,,byte slr,https://www.facebook.com/byte slr,HOLD_NEEDS_CHANNEL_REVIEW,NO_REVIEWED_PLATFORM_ACCOUNT_ID,False
facebook:acct_6f5d8891c68678d5a6b5,facebook,,61559574479928,https://www.facebook.com/profile.php?id=61559574479928,HOLD_NEEDS_CHANNEL_REVIEW,NO_REVIEWED_PLATFORM_ACCOUNT_ID,False
facebook:acct_706ddfd696cd82c813e4,facebook,,NongwanTV,https://www.facebook.com/NongwanTV,HOLD_NEEDS_CHANNEL_REVIEW,NO_REVIEWED_PLATFORM_ACCOUNT_ID,False
facebook:acct_72471dec8b645d761927,facebook,,Fortuna-Leah-115057817879526,https://www.facebook.com/Fortuna-Leah-115057817879526,HOLD_NEEDS_CHANNEL_REVIEW,NO_REVIEWED_PLATFORM_ACCOUNT_ID,False
facebook:acct_72ffdde6760b7b21b2f3,facebook,,Punquix,https://www.facebook.com/Punquix,HOLD_NEEDS_CHANNEL_REVIEW,NO_REVIEWED_PLATFORM_ACCOUNT_ID,False
facebook:acct_7415160bbada049f55b8,facebook,,61567287431406,https://www.facebook.com/profile.php?id=61567287431406,HOLD_NEEDS_CHANNEL_REVIEW,NO_REVIEWED_PLATFORM_ACCOUNT_ID,False
facebook:acct_7470d6ebabac3692f1a6,facebook,,100087650097309,https://www.facebook.com/profile.php?id=100087650097309,HOLD_NEEDS_CHANNEL_REVIEW,NO_REVIEWED_PLATFORM_ACCOUNT_ID,False
facebook:acct_75343b94a0bb418229d1,facebook,,KingSlimeCh.VTH,https://www.facebook.com/KingSlimeCh.VTH,HOLD_NEEDS_CHANNEL_REVIEW,NO_REVIEWED_PLATFORM_ACCOUNT_ID,False
facebook:acct_75614505bbb934e033ca,facebook,,HyougaAlpha,https://www.facebook.com/HyougaAlpha,HOLD_NEEDS_CHANNEL_REVIEW,NO_REVIEWED_PLATFORM_ACCOUNT_ID,False
facebook:acct_75980081aa6a7cb4e341,facebook,,61557475637764,https://www.facebook.com/profile.php?id=61557475637764,HOLD_NEEDS_CHANNEL_REVIEW,NO_REVIEWED_PLATFORM_ACCOUNT_ID,False
