sample_id,channel_id,video_id,year,video_published_at,time_bin,sampling_reason,t5_capture_count,t5_output_file
smp_UCM69uU9_2024_O34L1C-5-eM,UCM69uU9b_raR3mcACHeivgg,O34L1C-5-eM,2024,2024-10-26T16:07:22+00:00,bin_5_sep_oct,baseline_stratified,99,C:\Users\Icezaza\Documents\GitHub\ThaiVtuberSNA\data\temporal\observations\comment\UCM69uU9b_raR3mcACHeivgg\O34L1C-5-eM.parquet
smp_UCOGGZpm_2024__mYhBghwX-4,UCOGGZpm2i6PXFI9yBvEueRA,_mYhBghwX-4,2024,2024-10-28T01:31:53+00:00,bin_5_sep_oct,baseline_stratified,97,C:\Users\Icezaza\Documents\GitHub\ThaiVtuberSNA\data\temporal\observations\comment\UCOGGZpm2i6PXFI9yBvEueRA\_mYhBghwX-4.parquet
smp_UCR1Htb-_2024_x5hex26mfco,UCR1Htb-H1-tus7UPotPh69A,x5hex26mfco,2024,2024-09-22T12:00:06+00:00,bin_5_sep_oct,baseline_stratified,99,C:\Users\Icezaza\Documents\GitHub\ThaiVtuberSNA\data\temporal\observations\comment\UCR1Htb-H1-tus7UPotPh69A\x5hex26mfco.parquet
smp_UCRNJOb6_2024_r6YtCSUzaXg,UCRNJOb6iROvOKqWiB9H1lBg,r6YtCSUzaXg,2024,2024-05-11T13:00:07+00:00,bin_3_may_jun,baseline_stratified,96,C:\Users\Icezaza\Documents\GitHub\ThaiVtuberSNA\data\temporal\observations\comment\UCRNJOb6iROvOKqWiB9H1lBg\r6YtCSUzaXg.parquet
smp_UCTRQ7X-_2024_VzQ7KgBfOQA,UCTRQ7X-nxix3gjjXUb6ylvA,VzQ7KgBfOQA,2024,2024-07-21T18:25:07+00:00,bin_4_jul_aug,baseline_stratified,99,C:\Users\Icezaza\Documents\GitHub\ThaiVtuberSNA\data\temporal\observations\comment\UCTRQ7X-nxix3gjjXUb6ylvA\VzQ7KgBfOQA.parquet
smp_UCWM76ZP_2024_JFvfvYZh5R8,UCWM76ZPAZqDNOAp5AKn9uIw,JFvfvYZh5R8,2024,2024-09-19T09:10:00+00:00,bin_5_sep_oct,baseline_stratified,99,C:\Users\Icezaza\Documents\GitHub\ThaiVtuberSNA\data\temporal\observations\comment\UCWM76ZPAZqDNOAp5AKn9uIw\JFvfvYZh5R8.parquet
smp_UCWM76ZP_2024_UNp5JNxtdRs,UCWM76ZPAZqDNOAp5AKn9uIw,UNp5JNxtdRs,2024,2024-01-01T10:40:00+00:00,bin_1_jan_feb,baseline_stratified,99,C:\Users\Icezaza\Documents\GitHub\ThaiVtuberSNA\data\temporal\observations\comment\UCWM76ZPAZqDNOAp5AKn9uIw\UNp5JNxtdRs.parquet
smp_UCWNVjAz_2024_VujQCiMkZv8,UCWNVjAzZmYUni8YBXYiy01w,VujQCiMkZv8,2024,2024-10-03T10:00:28+00:00,bin_5_sep_oct,baseline_stratified,97,C:\Users\Icezaza\Documents\GitHub\ThaiVtuberSNA\data\temporal\observations\comment\UCWNVjAzZmYUni8YBXYiy01w\VujQCiMkZv8.parquet
smp_UCWU7kvL_2024_EIkZ3wzgdf8,UCWU7kvLd_JBaBqO_ilTYd_A,EIkZ3wzgdf8,2024,2024-04-12T18:02:15+00:00,bin_2_mar_apr,baseline_stratified,100,C:\Users\Icezaza\Documents\GitHub\ThaiVtuberSNA\data\temporal\observations\comment\UCWU7kvLd_JBaBqO_ilTYd_A\EIkZ3wzgdf8.parquet
smp_UCfiD6Dp_2024_kDWbeFwvSCg,UCfiD6DpIwPP4lQ4NPqZNOHg,kDWbeFwvSCg,2024,2024-07-13T13:00:06+00:00,bin_4_jul_aug,baseline_stratified,98,C:\Users\Icezaza\Documents\GitHub\ThaiVtuberSNA\data\temporal\observations\comment\UCfiD6DpIwPP4lQ4NPqZNOHg\kDWbeFwvSCg.parquet
smp_UClIlMpd_2024_u9iZwe4hI0Q,UClIlMpdlevmQHyd7qQLLNWA,u9iZwe4hI0Q,2024,2024-05-28T14:43:03+00:00,bin_3_may_jun,baseline_stratified,95,C:\Users\Icezaza\Documents\GitHub\ThaiVtuberSNA\data\temporal\observations\comment\UClIlMpdlevmQHyd7qQLLNWA\u9iZwe4hI0Q.parquet
