channel_id,name,tier_at_selection,subscriber_count_at_selection,lifecycle_status,agency,selection_reason,selected_at
UCAr4U_HGMYXn1EZjdWiGSLQ,Baabel Ch.【ARP】,S,281000,active,Algorhythm Project,Tier S (>=100k subscribers),2026-09-07T18:09:48.704697+00:00
UCdYlA3Qi1TnZwThS9Rb7dog,JayloNy,S,251000,active,Independent,Tier S (>=100k subscribers),2026-09-07T18:09:48.704697+00:00
UCg53fzp6UNYvsyAg8UoNXCA,Draki Kona Ch. Lumina-First-Myth,S,248000,active,Lumina Live,Tier S (>=100k subscribers),2026-09-07T18:09:48.704697+00:00
UCNTEr2_96vJnXNazr5MwNLA,Schneider Ch.【ARP】,S,242000,active,Algorhythm Project,Tier S (>=100k subscribers),2026-09-07T18:09:48.704697+00:00
UCi2T9exDdJRTsxL1vnNV9gQ,Nanino Channel,S,231000,active,Independent,Tier S (>=100k subscribers),2026-09-07T18:09:48.704697+00:00
UCrYkQnbL_OiYyGuiZyvcO7g,Hey Solly,S,230000,hiatus,Independent,Tier S (>=100k subscribers),2026-09-07T18:09:48.704697+00:00
UCeijqgCP9z3zLJ-uwQzvFtQ,Sora A.C.G.,S,230000,active,Independent,Tier S (>=100k subscribers),2026-09-07T18:09:48.704697+00:00
UCM69uU9b_raR3mcACHeivgg,Pyork The Pork,S,224000,active,Independent,Tier S (>=100k subscribers),2026-09-07T18:09:48.704697+00:00
UCWNVjAzZmYUni8YBXYiy01w,dtto.,S,222000,active,Independent,Tier S (>=100k subscribers),2026-09-07T18:09:48.704697+00:00
UCaNQI1xcU1ZC4W0guaIMgTg,ศาลเจ้ามังกรเนื้อทอง,S,209000,active,Independent,Tier S (>=100k subscribers),2026-09-07T18:09:48.704697+00:00
UCY-5Lf7AJKFj4fudzFi1AZw,TeenWISU,S,207000,active,Independent,Tier S (>=100k subscribers),2026-09-07T18:09:48.704697+00:00
UCMhUWTKBjrRSacizvjq3HLg,L4zyGone,S,201000,active,Independent,Tier S (>=100k subscribers),2026-09-07T18:09:48.704697+00:00
UCXwc3r1q3yyxugIq2KM9K7A,Plathong Ch.,S,199000,active,Independent,Tier S (>=100k subscribers),2026-09-07T18:09:48.704697+00:00
UCNGyEYW2pFjhR_YqSuC4zjg,SAYU Ch. 小百合さゆ,S,194000,active,Independent,Tier S (>=100k subscribers),2026-09-07T18:09:48.704697+00:00
UCHhIQk2SuVBxR4H2PH_3j2Q,นานาโฮชิ นานะ / 七星ナナ,S,177000,active,Independent,Tier S (>=100k subscribers),2026-09-07T18:09:48.704697+00:00
UCcgDP2RmeCqW1GTms1mkUlQ,Karu Ch.【ARP】,S,175000,active,Algorhythm Project,Tier S (>=100k subscribers),2026-09-07T18:09:48.704697+00:00
UCafG1bj6Qtcbn4bozcicWfA,ZONA Ch.,S,172000,active,Polygon Official,Tier S (>=100k subscribers),2026-09-07T18:09:48.704697+00:00
UCt1L2vxqFD0xZeYHeHPZQoQ,CooGa,S,169000,active,Independent,Tier S (>=100k subscribers),2026-09-07T18:09:48.704697+00:00
UCSR9HXXmM7Er6ebxyIoBgpw,Stamp LMTY ⌜VZ⌟,S,156000,active,Virtual Zeven (VZ),Tier S (>=100k subscribers),2026-09-07T18:09:48.704697+00:00
UClIlMpdlevmQHyd7qQLLNWA,ghostmaiky,S,155000,active,Independent,Tier S (>=100k subscribers),2026-09-07T18:09:48.704697+00:00
UCvTchQs3VuPF74Y3e6pPAMQ,SwordAce,S,153000,active,Independent,Tier S (>=100k subscribers),2026-09-07T18:09:48.704697+00:00
UCf-29F7w_0xRTXVDFol0spQ,Roxzy ロキジー,S,144000,active,Independent,Tier S (>=100k subscribers),2026-09-07T18:09:48.704697+00:00
UCQSPYuDISdhcuvXsAhn3BTQ,Lunatrix Ch.,S,138000,active,Independent,Tier S (>=100k subscribers),2026-09-07T18:09:48.704697+00:00
UCw64ItsCX0Cb4lCjb68oTpw,Eileennoir Ch.,S,134000,active,Independent,Tier S (>=100k subscribers),2026-09-07T18:09:48.704697+00:00
UCXtQTtPJedfjqEPysorbsMg,久檻夜くぅ / Qualia Qu Ch.,S,134000,unknown,Independent,Tier S (>=100k subscribers),2026-09-07T18:09:48.704697+00:00
