wiki_title,page_url,channel_id,in_target_cohort,debut_date_raw,retirement_date_raw,status_raw,agency_raw,has_dates
Koseki Bijou,https://virtualyoutuber.fandom.com/wiki/Koseki%20Bijou,UC9p_lqQ0FEDz327Vgf5JwqA,False,YouTube: 2023/07/30,|character_designer = Illustration:,,[[hololive|hololive English]],True
Kurosaki Kuzune,https://virtualyoutuber.fandom.com/wiki/Kurosaki%20Kuzune,UCpuk3ld3rGWSsLOhuVlOFBQ,False,YouTube: 2021/02/27,|character_designer = Illustration/Designer:,,Independent,True
Laguna Juju,https://virtualyoutuber.fandom.com/wiki/Laguna%20Juju,UCMUtWzsjAQJgp6UlkbVSo1w,True,YouTube: 2021/03/14,2023/11/29,,[[Pixela]],True
Laibaht,https://virtualyoutuber.fandom.com/wiki/Laibaht,UCR1Htb-H1-tus7UPotPh69A,True,2021/05/15,|character_designer = Illustration: [https://twitter.com/Jiro_Fly Jiro_Fly],,ManyVProject,True
Lapine,https://virtualyoutuber.fandom.com/wiki/Lapine,UCC5q6CpuDflPvO7pNn52RGQ,True,YouTube: 2020/10/02,|character_designer = Design:,,[[Polygon Project]],True
Lawiz,https://virtualyoutuber.fandom.com/wiki/Lawiz,UCCptqrhEdtJGBer1qWWRLnA,False,YouTube: 2020/06/11,|character_designer = Illustration: IKqz,,Independent,True
Leviana Livya,https://virtualyoutuber.fandom.com/wiki/Leviana%20Livya,UCEXxxuO6GnVJmwqIz9etkKA,False,YouTube: 2022/03/27,|character_designer = Illustration: [https://twitter.com/mino_KL mino],,[[Easter:Egg]] (formerly),True
Liselotte Engelhardt,https://virtualyoutuber.fandom.com/wiki/Liselotte%20Engelhardt,UCU5Bt3GkZmiYkazw37gJqIw,False,YouTube: 2026/01/26,|character_designer = Design: [https://x.com/Arisia19_Alpha Arisia19],,Independent,True
Little Lonita,https://virtualyoutuber.fandom.com/wiki/Little%20Lonita,,False,2023/03/24,|character_designer = Illustrator: [https://x.com/Nagi2680 Nagi2680],,[[Virtual Zeven]],True
Loxifyr,https://virtualyoutuber.fandom.com/wiki/Loxifyr,,False,2023/01/28,|character_designer = Illustrator: [https://twitter.com/fujiko_shiro Shiro D Fujiko],,[[VTory]],True
Lucene,https://virtualyoutuber.fandom.com/wiki/Lucene,UC25e5qEqvVaG_VKrkTmJBmw,True,YouTube: 2020/10/25,|character_designer = Design:,,[[Polygon Project]],True
Lunatrix,https://virtualyoutuber.fandom.com/wiki/Lunatrix,UCQSPYuDISdhcuvXsAhn3BTQ,True,YouTube: 2021/10/01,|character_designer = Illustrator: Motto & Notto,,Independent,True
Luxia,https://virtualyoutuber.fandom.com/wiki/Luxia,UCRG5fX1v4b-3sUyKfAAtxxA,True,YouTube: 2020/10/20,|character_designer = Designer: [https://twitter.com/vpkmit SALMON88],,[[Polygon Project]],True
MamiMumei,https://virtualyoutuber.fandom.com/wiki/MamiMumei,,False,YouTube: 2025/05/31,|character_designer =,,Independent,True
MeiLi,https://virtualyoutuber.fandom.com/wiki/MeiLi,UCV04Z1PL6HevUdDeHDHwkDw,False,YouTube: 2022/02/26,2022/11/25,,[[Parabellum Project]],True
Melita X,https://virtualyoutuber.fandom.com/wiki/Melita%20X,UCpNkVsMlsJRF792H-1_1vPA,True,YouTube: 2021/03/12,2023/11/30,,[[Pixela]],True
Meraki Keimii,https://virtualyoutuber.fandom.com/wiki/Meraki%20Keimii,UCSXwfOj8mTDxE1ZaIEHXN2w,True,YouTube: 2022/01/06,2023/01/08,,[[Pixela]],True
Midnight,https://virtualyoutuber.fandom.com/wiki/Midnight,UC6Q4UI5mEjeZOIRoTtRoFJA,True,YouTube: 2021/03/17 (Debut),|character_designer = [[:File:Midnight_pf.png|1st Outfit]] & [[:File:Midnight2.png|2.0 and 2nd Outfit]],,[[Algorhythm Project]],True
Mikari,https://virtualyoutuber.fandom.com/wiki/Mikari,UC19G1A17yxePMyLJqcNBN7Q,False,YouTube: 2020/12/01,Unknown,,Independent,True
Miki,https://virtualyoutuber.fandom.com/wiki/Miki,,False,YouTube: 2020/05/16,|character_designer = Illustration & Design: [https://twitter.com/Alchiaki_n Al ChiaKi],,Independent,True
MikuRu-0,https://virtualyoutuber.fandom.com/wiki/MikuRu-0,,False,YouTube: 2018/12/16,|character_designer = 2D Illustration (1st version): [https://twitter.com/Lusan_666 Lusan_666],,[[HAJITABI]] (formerly),True
Minami Cera,https://virtualyoutuber.fandom.com/wiki/Minami%20Cera,,False,2023/02/09,2026/03/31,,[[Polygon Project]],True
MiYuu43,https://virtualyoutuber.fandom.com/wiki/MiYuu43,,False,27/02/2018/02/27,|character_designer =,,Independent,True
Mooco Witchie,https://virtualyoutuber.fandom.com/wiki/Mooco%20Witchie,,False,2022/08/18,|character_designer = Illustration: [https://twitter.com/fujiko_shiro Shiro D Fujiko],,[[VTory]],True
Mortifer Bathory,https://virtualyoutuber.fandom.com/wiki/Mortifer%20Bathory,,False,YouTube: 2021/09,|character_designer = Design: [https://twitter.com/cata_kana Kana],,[[Parabellum Project]],True
Mosant,https://virtualyoutuber.fandom.com/wiki/Mosant,UC-1J1TwDCLKe2p4HVchqGiw,True,YouTube: 11/12/2021,|character_designer = Illustration/Designer:,,Independent,True
Nakaru Rikka,https://virtualyoutuber.fandom.com/wiki/Nakaru%20Rikka,UCQxYe05rfMOW_gesVywQlYA,False,2020/12/01,|character_designer =,,Independent,True
Nanahoshi Nana,https://virtualyoutuber.fandom.com/wiki/Nanahoshi%20Nana,UCHhIQk2SuVBxR4H2PH_3j2Q,True,YouTube: 2024/03/10,|character_designer = Live2D Model: [https://x.com/nakatokung Nakatokung],,Independent,True
Nelynn,https://virtualyoutuber.fandom.com/wiki/Nelynn,UC2GaO3oPD_bkDMtLLRHnJgw,False,YouTube: 2020/07/21,2022/03/31,,Independent,True
Neuatong,https://virtualyoutuber.fandom.com/wiki/Neuatong,,False,2021/03/04,|character_designer = Illustration: [https://twitter.com/Yamiiv7 Yamiiv],,[[VTory]],True
Ning Ning,https://virtualyoutuber.fandom.com/wiki/Ning%20Ning,UClSlkwPIViMrT4Mj_8enkew,False,2022/02/26,2023/05/31,,[[Parabellum Project]],True
Nisa,https://virtualyoutuber.fandom.com/wiki/Nisa,UC0cpWaYfZHppuIXGN6on59Q,False,YouTube: 2021/03/17,|character_designer = [[:File:Nisapoyo_pf.png|1st Outfit]],,Independent,True
Novice Zoel,https://virtualyoutuber.fandom.com/wiki/Novice%20Zoel,,False,2023/06/04,|character_designer = Illustration: [https://twitter.com/meriMochi_ MeriMa],,Independent,True
Nx-Aji 2806,https://virtualyoutuber.fandom.com/wiki/Nx-Aji%202806,UCP8f5nq2YdKUmHmLUCkroSw,False,YouTube: 2022/05/31,|character_designer = Design: Nexon,,Independent,True
Nyeeeon,https://virtualyoutuber.fandom.com/wiki/Nyeeeon,UCmvFibZ6umhTdyUpLya_vLg,False,Twitch: 2021/04/12,|character_designer = '''Dragon (v3)''',,Independent,True
Ookami Shiro,https://virtualyoutuber.fandom.com/wiki/Ookami%20Shiro,UCgxuLWOuU5QX8ReEFthb_lA,False,YouTube: 2020/10/12,Unknown,,Independent,True
PAres Spacedog,https://virtualyoutuber.fandom.com/wiki/PAres%20Spacedog,UCW5ZZhibxHgZ6wLzqXK97XQ,False,YouTube: 2022/06/16,|character_designer = Illustration/Designer: @Kaohom503,,Independent,True
