event_id,creator_channel_id,creator_name,agency,event_type,event_date,event_year,evidence_tier,creator_source_class,verification_status,source_type,source_reference,retrieved_at,notes
evt_first_observed_UCIxWJ7k2M_20250710,UCIxWJ7k2MWKT6sIg3mLjkTg,โป๊ะโกะ / PoKo ปลวกทูปเบ๋อ,Independent,FIRST_OBSERVED,2025-07-10,2025,INFERRED_PROXY,INFERRED_PROXY,INFERRED_PROXY,CATALOG_TIMESTAMP_PROXY,channel_coverage.parquet:oldest_video_published_at=2025-07-10 16:12:02+00:00,2026-09-09T05:30:40.708062+00:00,Earliest cataloged public video upload in research dataset (2025-07-10 16:12:02+00:00). Not verified debut stream.
evt_first_observed_UCalvpWY2A_20220829,UCalvpWY2A2P4-h5UIs1jGgA,yoinmori,Independent,FIRST_OBSERVED,2022-08-29,2022,INFERRED_PROXY,INFERRED_PROXY,INFERRED_PROXY,CATALOG_TIMESTAMP_PROXY,channel_coverage.parquet:oldest_video_published_at=2022-08-29 04:00:18+00:00,2026-09-09T05:30:40.708062+00:00,Earliest cataloged public video upload in research dataset (2022-08-29 04:00:18+00:00). Not verified debut stream.
evt_first_observed_UClCLRJrlg_20210621,UClCLRJrlg3F9FOPnUfItZSw,Tatsuki Ch.,Independent,FIRST_OBSERVED,2021-06-21,2021,INFERRED_PROXY,INFERRED_PROXY,INFERRED_PROXY,CATALOG_TIMESTAMP_PROXY,channel_coverage.parquet:oldest_video_published_at=2021-06-21 09:13:58+00:00,2026-09-09T05:30:40.708062+00:00,Earliest cataloged public video upload in research dataset (2021-06-21 09:13:58+00:00). Not verified debut stream.
evt_hiatus_observed_proxy_UClCLRJrlg_20221106,UClCLRJrlg3F9FOPnUfItZSw,Tatsuki Ch.,Independent,HIATUS_OBSERVED_PROXY,2022-11-06,2022,INFERRED_PROXY,INFERRED_PROXY,INFERRED_PROXY,REGISTRY_INACTIVITY_PROXY,thai_vtuber_registry.json:last_video_published_at=2022-11-06T10:53:34+00:00,2026-09-09T05:30:40.708062+00:00,Observed hiatus boundary based on last public activity recorded on 2022-11-06 (>180d inactive).
evt_first_observed_UCcFIthTrw_20231211,UCcFIthTrwa6N-1ri9sQZstw,Poru Ch.【ARP】,Algorhythm Project,FIRST_OBSERVED,2023-12-11,2023,INFERRED_PROXY,INFERRED_PROXY,INFERRED_PROXY,CATALOG_TIMESTAMP_PROXY,channel_coverage.parquet:oldest_video_published_at=2023-12-11 12:30:25+00:00,2026-09-09T05:30:40.708062+00:00,Earliest cataloged public video upload in research dataset (2023-12-11 12:30:25+00:00). Not verified debut stream.
evt_debut_UCE010cVAg_20220210,UCE010cVAgWFD24wIJ95sDKw,Fumi Hausu,Independent,DEBUT,2022-02-10,2022,SECONDARY_DOCUMENTED,SECONDARY_DOCUMENTED,SECONDARY_DOCUMENTED,EXTERNAL_WIKI_AND_YOUTUBE,https://virtualyoutuber.fandom.com/wiki/Fumi_Hausu,2026-09-09T05:30:40.708062+00:00,Debuted on 2022-02-10 as independent Thai VTuber.
evt_first_observed_UC8-JXAccu_20240422,UC8-JXAccuh7DvI_A_lObw-w,Uniinu ch. Euphora,Euphora Project,FIRST_OBSERVED,2024-04-22,2024,INFERRED_PROXY,INFERRED_PROXY,INFERRED_PROXY,CATALOG_TIMESTAMP_PROXY,channel_coverage.parquet:oldest_video_published_at=2024-04-22 13:29:47+00:00,2026-09-09T05:30:40.708062+00:00,Earliest cataloged public video upload in research dataset (2024-04-22 13:29:47+00:00). Not verified debut stream.
evt_first_observed_UCtGhO6z6G_20210210,UCtGhO6z6GxqtBZ4gP-3rUpA,TakumaRei「บ่นไปเรื่อย」,Independent,FIRST_OBSERVED,2021-02-10,2021,INFERRED_PROXY,INFERRED_PROXY,INFERRED_PROXY,CATALOG_TIMESTAMP_PROXY,channel_coverage.parquet:oldest_video_published_at=2021-02-10 00:00:04+00:00,2026-09-09T05:30:40.708062+00:00,Earliest cataloged public video upload in research dataset (2021-02-10 00:00:04+00:00). Not verified debut stream.
evt_debut_UCLNBff3KD_20220127,UCLNBff3KDEUxdfH_lkvyOKQ,Kamiyu Reirin Ch. Lumina-First-Myth,Lumina Live,DEBUT,2022-01-27,2022,SECONDARY_DOCUMENTED,SECONDARY_DOCUMENTED,SECONDARY_DOCUMENTED,EXTERNAL_WIKI_AND_YOUTUBE,https://virtualyoutuber.fandom.com/wiki/Kamiyu_Reirin,2026-09-09T05:30:40.708062+00:00,Debuted on 2022-01-27 as member of Pixela Legends.
evt_first_observed_UCWM76ZPAZ_20230308,UCWM76ZPAZqDNOAp5AKn9uIw,JueBigHead,Independent,FIRST_OBSERVED,2023-03-08,2023,INFERRED_PROXY,INFERRED_PROXY,INFERRED_PROXY,CATALOG_TIMESTAMP_PROXY,channel_coverage.parquet:oldest_video_published_at=2023-03-08 16:30:47+00:00,2026-09-09T05:30:40.708062+00:00,Earliest cataloged public video upload in research dataset (2023-03-08 16:30:47+00:00). Not verified debut stream.
evt_first_observed_UCvob8U-yj_20220820,UCvob8U-yjPS-fSf5bq7jvGw,Umino Ciala Ch. Pixela Legends,Pixela Project,FIRST_OBSERVED,2022-08-20,2022,INFERRED_PROXY,INFERRED_PROXY,INFERRED_PROXY,CATALOG_TIMESTAMP_PROXY,channel_coverage.parquet:oldest_video_published_at=2022-08-20 17:46:13+00:00,2026-09-09T05:30:40.708062+00:00,Earliest cataloged public video upload in research dataset (2022-08-20 17:46:13+00:00). Not verified debut stream.
evt_debut_UC25e5qEqv_20201025,UC25e5qEqvVaG_VKrkTmJBmw,Lucene Ch.,Independent,DEBUT,2020-10-25,2020,SECONDARY_DOCUMENTED,SECONDARY_DOCUMENTED,SECONDARY_DOCUMENTED,EXTERNAL_WIKI_AND_YOUTUBE,https://virtualyoutuber.fandom.com/wiki/Lucene,2026-09-09T05:30:40.708062+00:00,Debuted on 2020-10-25 as member of Polygon Project 1st Gen (POLAR1SS).
evt_first_observed_UC3O5wAgEV_20221219,UC3O5wAgEVyNA1Jw3gyi-_jA,MOLLY,Independent,FIRST_OBSERVED,2022-12-19,2022,INFERRED_PROXY,INFERRED_PROXY,INFERRED_PROXY,CATALOG_TIMESTAMP_PROXY,channel_coverage.parquet:oldest_video_published_at=2022-12-19 06:47:19+00:00,2026-09-09T05:30:40.708062+00:00,Earliest cataloged public video upload in research dataset (2022-12-19 06:47:19+00:00). Not verified debut stream.
evt_first_observed_UCJcfB-86r_20210810,UCJcfB-86rWM0NF2li1CqNNw,NutsuruSama,Independent,FIRST_OBSERVED,2021-08-10,2021,INFERRED_PROXY,INFERRED_PROXY,INFERRED_PROXY,CATALOG_TIMESTAMP_PROXY,channel_coverage.parquet:oldest_video_published_at=2021-08-10 17:41:20+00:00,2026-09-09T05:30:40.708062+00:00,Earliest cataloged public video upload in research dataset (2021-08-10 17:41:20+00:00). Not verified debut stream.
evt_first_observed_UCaCZ78DoD_20201027,UCaCZ78DoDsPxejb_azg1hog,ITsMeYao,Independent,FIRST_OBSERVED,2020-10-27,2020,INFERRED_PROXY,INFERRED_PROXY,INFERRED_PROXY,CATALOG_TIMESTAMP_PROXY,channel_coverage.parquet:oldest_video_published_at=2020-10-27 01:03:37+00:00,2026-09-09T05:30:40.708062+00:00,Earliest cataloged public video upload in research dataset (2020-10-27 01:03:37+00:00). Not verified debut stream.
